+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |                          design_1_i/axi_interconnect_0/xbar/inst/gen_sasd.crossbar_sasd_0/aresetn_d_reg/D|
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |design_1_i/axi_interconnect_0/s00_couplers/auto_pc/inst/gen_axilite.gen_b2s_conv.axilite_b2s/areset_d1_reg/D|
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |                               design_1_i/custom_hps_1/U0/custom_hps_v1_0_S00_AXI_inst/axi_araddr_reg[3]/S|
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |                                 design_1_i/custom_hps_1/U0/custom_hps_v1_0_S00_AXI_inst/axi_arready_reg/R|
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |                                  design_1_i/custom_hps_1/U0/custom_hps_v1_0_S00_AXI_inst/axi_rvalid_reg/R|
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |                                            design_1_i/zed_audio_ctrl_0/U0/USER_LOGIC_I/data_rdy_bit_reg/D|
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |                                              design_1_i/vga_controller_0/U0/FSM_sequential_state_reg[2]/D|
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |                                              design_1_i/vga_controller_0/U0/FSM_sequential_state_reg[1]/D|
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |                               design_1_i/custom_hps_1/U0/custom_hps_v1_0_S00_AXI_inst/axi_araddr_reg[2]/S|
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |                                design_1_i/custom_hps_1/U0/custom_hps_v1_0_S00_AXI_inst/slv_reg0_reg[11]/R|
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |                                              design_1_i/vga_controller_0/U0/FSM_sequential_state_reg[0]/D|
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |                               design_1_i/custom_hps_1/U0/custom_hps_v1_0_S00_AXI_inst/axi_rdata_reg[28]/R|
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |                               design_1_i/custom_hps_1/U0/custom_hps_v1_0_S00_AXI_inst/axi_rdata_reg[29]/R|
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |                               design_1_i/custom_hps_1/U0/custom_hps_v1_0_S00_AXI_inst/axi_rdata_reg[31]/R|
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |                               design_1_i/custom_hps_1/U0/custom_hps_v1_0_S00_AXI_inst/axi_rdata_reg[26]/R|
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |                               design_1_i/custom_hps_1/U0/custom_hps_v1_0_S00_AXI_inst/axi_rdata_reg[12]/R|
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |                               design_1_i/custom_hps_1/U0/custom_hps_v1_0_S00_AXI_inst/axi_rdata_reg[23]/R|
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |                               design_1_i/custom_hps_1/U0/custom_hps_v1_0_S00_AXI_inst/axi_rdata_reg[22]/R|
| clk_out1_design_1_clk_wiz_0_0 |               clk_fpga_0 |                               design_1_i/custom_hps_1/U0/custom_hps_v1_0_S00_AXI_inst/axi_rdata_reg[21]/R|
